Time,MidPeriod,PopMale,PopFemale,PopTotal
1988,1988.5,7922.669,5695.339,11618.008
1989,1989.5,6054.345,5814.528,11868.873
1990,1990.5,5344.617,6067.694,12412.311
1991,1991.5,4821.673,6477.343,13299.016
1992,1992.5,3461.092,7024.451,14485.543
1993,1993.5,2176.785,7639.816,15816.601
1994,1994.5,1848.711,8227.017,17075.728
1995,1995.5,9392.627,8718.035,18110.662
1996,1996.5,8770.493,9082.951,18853.444
1997,1997.5,70012.241,9344.885,19357.126
1998,1998.5,60184.272,9553.498,19737.77
1999,1999.5,50386.589,9784.258,20170.847
2000,2000.5,40689.508,10090.449,20779.957
2001,2001.5,31117.754,10489.238,21606.992
2002,2002.5,21642.106,10958.668,22600.774
2003,2003.5,12214.634,11466.237,23680.871
2004,2004.5,92763.726,11962.963,24726.689
2005,2005.5,83239.684,12414.59,25654.274
2006,2006.5,73623.896,12809.162,26433.058
2007,2007.5,63938.97,13161.572,27100.542
2008,2008.5,54225.725,13496.556,27722.281
